generation,best_fitness,avg_fitness,best_score,alltime_best,num_species,avg_nodes,avg_connections
0,128.6,26.98,1,128.6,1,3.0,33.0
1,180.1,32.93,1,180.1,1,3.11,32.67
2,323.9,41.98,3,323.9,1,3.22,32.23
3,307.6,43.57,3,323.9,1,3.36,31.52
4,180.1,39.24,1,323.9,1,3.45,30.31
5,300.1,39.88,2,323.9,1,3.44,28.39
6,180.1,44.35,1,323.9,1,3.35,25.84
7,104.9,43.97,1,323.9,1,3.47,23.42
8,180.1,46.64,1,323.9,1,3.4,20.18
9,304.6,47.9,3,323.9,1,3.43,17.71
10,205.8,47.16,2,323.9,1,3.55,15.85
11,201.8,52.58,2,323.9,1,3.51,14.47
12,180.1,51.32,1,323.9,1,3.67,13.86
13,107.3,51.04,1,323.9,1,3.51,12.49
14,103.9,40.31,1,323.9,1,3.67,11.36
15,180.1,42.02,1,323.9,1,3.63,10.07
16,102.8,45.98,1,323.9,1,3.53,8.53
17,102.3,50.95,1,323.9,1,3.63,7.49
18,100.3,52.46,1,323.9,1,3.56,6.13
19,101.2,54.11,1,323.9,1,3.6,4.51
20,60.1,50.31,0,323.9,1,4.05,5.08
21,60.1,50.71,0,323.9,1,3.83,4.04
22,101.9,52.95,1,323.9,1,3.63,3.27
23,180.1,56.08,1,323.9,1,3.69,3.37
24,101.9,48.72,1,323.9,2,3.73,3.4
25,101.2,45.74,1,323.9,2,3.8,3.25
26,180.1,53.74,1,323.9,2,3.87,3.65
27,60.1,48.73,0,323.9,2,4.15,4.29
28,180.1,52.16,1,323.9,2,4.21,4.28
29,101.2,56.09,1,323.9,2,3.96,3.93
30,100.3,52.15,1,323.9,2,3.95,3.58
31,100.3,54.91,1,323.9,2,4.31,4.11
32,100.3,49.07,1,323.9,2,4.84,4.95
33,60.1,53.46,0,323.9,2,5.08,6.03
34,100.3,53.08,1,323.9,2,5.23,6.46
35,60.1,52.29,0,323.9,2,5.11,6.07
36,104.9,53.13,1,323.9,2,4.65,5.65
37,104.9,55.53,1,323.9,2,4.53,5.37
38,101.8,52.19,1,323.9,2,4.81,6.55
39,60.1,56.21,0,323.9,2,5.14,6.77
40,102.3,55.88,1,323.9,2,5.16,6.93
41,100.3,52.18,1,323.9,2,4.41,6.54
42,60.1,55.01,0,323.9,2,3.94,5.21
43,60.1,56.59,0,323.9,2,3.63,4.37
44,102.6,58.58,1,323.9,2,3.73,4.62
45,60.1,57.75,0,323.9,3,4.11,5.27
46,60.1,57.35,0,323.9,2,4.25,5.48
47,100.3,55.67,1,323.9,3,4.4,5.79
48,180.1,57.64,1,323.9,3,4.34,5.71
49,100.3,50.99,1,323.9,3,4.55,5.62
50,101.2,52.21,1,323.9,3,4.2,4.85
51,180.1,50.61,1,323.9,3,4.58,5.43
52,100.3,51.34,1,323.9,3,4.88,5.57
53,60.1,52.66,0,323.9,3,4.87,5.6
54,180.1,54.63,1,323.9,3,5.27,5.83
55,100.3,52.91,1,323.9,3,5.41,6.31
56,60.1,52.67,0,323.9,3,5.59,6.54
