generation,best_fitness,avg_fitness,best_score,alltime_best
1,113.2,30.4,1,113.2
2,202.6,40.4,2,202.6
3,105.4,45.4,1,202.6
4,114.3,40.8,1,202.6
5,203.9,43.3,2,203.9
6,109.1,39.9,1,203.9
7,104.1,39.3,1,203.9
8,204.8,47.6,2,204.8
9,104.7,44.8,1,204.8
10,102.6,42.7,1,204.8
11,137.6,43.1,1,204.8
12,309.5,49.1,3,309.5
13,206.1,50.0,2,309.5
14,114.2,47.8,1,309.5
15,202.5,49.3,2,309.5
16,208.5,52.6,2,309.5
17,205.9,49.8,2,309.5
18,136.0,48.2,1,309.5
19,180.1,48.3,1,309.5
20,203.5,50.1,2,309.5
21,105.4,50.3,1,309.5
22,106.8,52.7,1,309.5
23,119.0,44.0,1,309.5
24,540.1,55.0,4,540.1
25,540.1,54.0,4,540.1
26,208.9,50.8,2,540.1
27,448.1,59.9,4,540.1
28,201.4,53.9,2,540.1
29,213.7,52.2,2,540.1
30,566.9,54.6,5,566.9
31,209.6,53.5,2,566.9
32,213.1,55.7,2,566.9
33,328.6,52.4,3,566.9
34,420.1,55.8,3,566.9
35,421.1,52.8,4,566.9
36,311.2,51.6,3,566.9
37,215.6,58.6,2,566.9
38,524.9,55.3,5,566.9
39,311.4,52.8,3,566.9
40,206.9,54.2,2,566.9
41,300.1,56.3,2,566.9
42,300.1,54.8,2,566.9
43,511.8,58.6,5,566.9
44,428.9,63.2,4,566.9
45,516.5,64.0,5,566.9
46,412.4,58.7,4,566.9
47,204.4,56.3,2,566.9
48,1352.0,74.6,13,1352.0
49,660.1,75.1,5,1352.0
50,300.1,60.8,2,1352.0
51,207.4,70.3,2,1352.0
52,314.4,68.9,3,1352.0
53,540.1,69.0,4,1352.0
54,414.2,72.5,4,1352.0
55,300.1,71.3,2,1352.0
56,660.1,80.4,5,1352.0
57,540.1,74.4,4,1352.0
58,420.1,79.7,3,1352.0
59,520.5,73.1,5,1352.0
60,540.1,76.8,4,1352.0
61,1030.3,80.0,10,1352.0
62,1140.1,94.6,9,1352.0
63,660.1,88.8,5,1352.0
64,1240.9,97.8,12,1352.0
65,625.4,94.0,6,1352.0
66,540.1,100.7,4,1352.0
67,1338.1,124.1,13,1352.0
68,1248.4,146.7,12,1352.0
69,2071.0,165.7,20,2071.0
70,2724.0,190.8,26,2724.0
71,2415.1,220.5,23,2724.0
72,2185.0,285.9,21,2724.0
73,4169.3,388.9,40,4169.3
74,2587.5,372.4,25,4169.3
75,4045.3,433.7,39,4169.3
76,4347.7,476.0,42,4347.7
77,5980.8,516.4,57,5980.8
78,3900.1,444.7,32,5980.8
79,3683.5,490.4,34,5980.8
80,3821.3,605.3,37,5980.8
81,6186.3,518.4,59,6186.3
82,5064.0,515.1,48,6186.3
83,3908.8,523.1,38,6186.3
84,4815.9,608.9,45,6186.3
85,5221.5,604.8,49,6186.3
86,5772.5,572.2,54,6186.3
87,5949.3,705.4,56,6186.3
88,5948.5,817.8,56,6186.3
89,6202.7,878.5,58,6202.7
90,9530.5,1018.8,90,9530.5
91,10661.7,1134.7,101,10661.7
92,6780.1,1358.0,56,10661.7
93,7539.0,1513.2,72,10661.7
94,6879.5,1615.3,65,10661.7
95,7246.0,1997.4,69,10661.7
96,8922.9,1780.8,85,10661.7
97,8896.8,1488.4,85,10661.7
98,9024.5,1590.7,86,10661.7
99,7570.2,1521.0,70,10661.7
100,8502.7,1774.4,80,10661.7
101,10123.4,2014.4,93,10661.7
102,10846.8,2082.0,103,10846.8
103,7695.3,1886.1,73,10846.8
104,9671.0,2554.6,91,10846.8
105,8830.0,2014.1,84,10846.8
106,9660.1,2168.2,80,10846.8
107,10314.9,2283.3,97,10846.8
108,12334.6,2152.4,116,12334.6
109,10012.2,2265.3,95,12334.6
110,11847.5,2552.7,113,12334.6
111,10322.7,2824.2,98,12334.6
112,10081.9,2353.8,95,12334.6
113,12625.2,2854.9,119,12625.2
114,10512.9,2319.4,99,12625.2
115,11051.0,2490.0,105,12625.2
116,8999.9,2242.9,85,12625.2
117,10213.6,2353.4,97,12625.2
118,11101.1,2770.6,105,12625.2
119,12687.1,3063.2,118,12687.1
120,10650.0,2665.8,101,12687.1
121,10191.0,2727.8,96,12687.1
122,10435.5,2937.1,99,12687.1
123,11318.8,3041.3,106,12687.1
124,10420.6,2670.1,93,12687.1
125,11585.0,2710.5,104,12687.1
126,10773.5,2934.4,102,12687.1
127,13127.1,2833.5,123,13127.1
128,15753.0,2582.7,147,15753.0
129,15541.8,2797.3,145,15753.0
130,14759.1,2934.3,138,15753.0
131,15531.7,3598.1,141,15753.0
132,23271.9,3398.8,204,23271.9
133,17735.9,3168.4,162,23271.9
134,16815.3,3584.9,154,23271.9
135,17747.2,3296.2,157,23271.9
136,21389.1,3175.4,186,23271.9
137,14593.2,3708.0,134,23271.9
138,13595.0,4272.6,124,23271.9
139,18485.3,4760.3,170,23271.9
140,25533.6,4959.8,224,25533.6
141,17969.0,3478.9,163,25533.6
142,16949.8,4208.1,153,25533.6
143,17777.9,3980.4,162,25533.6
144,17183.5,4292.4,155,25533.6
145,16957.6,4422.4,159,25533.6
146,17944.7,5372.5,164,25533.6
147,16719.4,5291.6,156,25533.6
148,16214.4,4957.2,149,25533.6
149,18769.6,5703.4,171,25533.6
150,18745.4,4958.2,170,25533.6
151,18233.9,4360.0,170,25533.6
152,17810.8,6493.2,159,25533.6
153,22673.9,5553.2,201,25533.6
154,23189.2,5522.0,207,25533.6
155,23449.3,6258.4,209,25533.6
156,19632.2,6079.7,174,25533.6
157,18163.8,5292.4,159,25533.6
158,18412.9,5572.6,167,25533.6
159,17366.3,5285.1,151,25533.6
160,22740.1,5211.4,189,25533.6
